[0.022s][info][gc,init] CardTable entry size: 512
[0.022s][info][gc     ] Using G1
[0.040s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.040s][info][gc,init] CPUs: 12 total, 12 available
[0.040s][info][gc,init] Memory: 16190M
[0.040s][info][gc,init] Large Page Support: Disabled
[0.040s][info][gc,init] NUMA Support: Disabled
[0.041s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.041s][info][gc,init] Heap Region Size: 2M
[0.041s][info][gc,init] Heap Min Capacity: 2G
[0.041s][info][gc,init] Heap Initial Capacity: 2G
[0.041s][info][gc,init] Heap Max Capacity: 4G
[0.041s][info][gc,init] Pre-touch: Disabled
[0.041s][info][gc,init] Parallel Workers: 10
[0.041s][info][gc,init] Concurrent Workers: 3
[0.041s][info][gc,init] Concurrent Refinement Workers: 10
[0.041s][info][gc,init] Periodic GC: Disabled
[0.058s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000021c88000000-0x0000021c88c90000-0x0000021c88c90000), size 13172736, SharedBaseAddress: 0x0000021c88000000, ArchiveRelocationMode: 1.
[0.058s][info][gc,metaspace] Compressed class space mapped at: 0x0000021c89000000-0x0000021cc9000000, reserved size: 1073741824
[0.058s][info][gc,metaspace] Narrow klass base: 0x0000021c88000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.736s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.737s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.743s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.3ms
[0.743s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.743s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 4.9ms
[0.743s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.8ms
[0.743s][info][gc,phases   ] GC(0)   Other: 1.0ms
[0.743s][info][gc,heap     ] GC(0) Eden regions: 51->0(44)
[0.743s][info][gc,heap     ] GC(0) Survivor regions: 0->7(7)
[0.743s][info][gc,heap     ] GC(0) Old regions: 0->5
[0.743s][info][gc,heap     ] GC(0) Humongous regions: 1->0
[0.744s][info][gc,metaspace] GC(0) Metaspace: 1321K(1472K)->1321K(1472K) NonClass: 1223K(1280K)->1223K(1280K) Class: 97K(192K)->97K(192K)
[0.744s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 104M->22M(2048M) 7.768ms
[0.744s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.01s
[0.935s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.935s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.940s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.3ms
[0.940s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.940s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.2ms
[0.940s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.5ms
[0.940s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.940s][info][gc,heap     ] GC(1) Eden regions: 44->0(44)
[0.940s][info][gc,heap     ] GC(1) Survivor regions: 7->7(7)
[0.940s][info][gc,heap     ] GC(1) Old regions: 5->13
[0.940s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.940s][info][gc,metaspace] GC(1) Metaspace: 1323K(1472K)->1323K(1472K) NonClass: 1226K(1280K)->1226K(1280K) Class: 97K(192K)->97K(192K)
[0.940s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 110M->39M(2048M) 5.636ms
[0.940s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.01s
[1.032s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[1.032s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[1.038s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[1.038s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[1.038s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 5.2ms
[1.038s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.3ms
[1.038s][info][gc,phases   ] GC(2)   Other: 0.1ms
[1.039s][info][gc,heap     ] GC(2) Eden regions: 44->0(44)
[1.039s][info][gc,heap     ] GC(2) Survivor regions: 7->7(7)
[1.039s][info][gc,heap     ] GC(2) Old regions: 13->22
[1.039s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[1.039s][info][gc,metaspace] GC(2) Metaspace: 1325K(1472K)->1325K(1472K) NonClass: 1227K(1280K)->1227K(1280K) Class: 97K(192K)->97K(192K)
[1.039s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 127M->56M(2048M) 6.438ms
[1.039s][info][gc,cpu      ] GC(2) User=0.00s Sys=0.00s Real=0.01s
[1.130s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[1.130s][info][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[1.136s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.2ms
[1.136s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.1ms
[1.136s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 4.5ms
[1.136s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.3ms
[1.136s][info][gc,phases   ] GC(3)   Other: 0.1ms
[1.136s][info][gc,heap     ] GC(3) Eden regions: 44->0(60)
[1.136s][info][gc,heap     ] GC(3) Survivor regions: 7->7(7)
[1.136s][info][gc,heap     ] GC(3) Old regions: 22->30
[1.136s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[1.136s][info][gc,metaspace] GC(3) Metaspace: 1325K(1472K)->1325K(1472K) NonClass: 1227K(1280K)->1227K(1280K) Class: 97K(192K)->97K(192K)
[1.136s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 144M->73M(2048M) 5.643ms
[1.136s][info][gc,cpu      ] GC(3) User=0.00s Sys=0.00s Real=0.01s
[1.243s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[1.243s][info][gc,task     ] GC(4) Using 10 workers of 10 for evacuation
[1.251s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.2ms
[1.251s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[1.251s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 6.4ms
[1.251s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.5ms
[1.251s][info][gc,phases   ] GC(4)   Other: 0.1ms
[1.251s][info][gc,heap     ] GC(4) Eden regions: 60->0(89)
[1.251s][info][gc,heap     ] GC(4) Survivor regions: 7->9(9)
[1.251s][info][gc,heap     ] GC(4) Old regions: 30->41
[1.251s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[1.251s][info][gc,metaspace] GC(4) Metaspace: 1325K(1472K)->1325K(1472K) NonClass: 1227K(1280K)->1227K(1280K) Class: 97K(192K)->97K(192K)
[1.251s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 193M->98M(2048M) 7.654ms
[1.251s][info][gc,cpu      ] GC(4) User=0.03s Sys=0.12s Real=0.01s
[1.389s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[1.389s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[1.398s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[1.398s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[1.398s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 7.6ms
[1.398s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.5ms
[1.398s][info][gc,phases   ] GC(5)   Other: 0.1ms
[1.398s][info][gc,heap     ] GC(5) Eden regions: 89->0(92)
[1.398s][info][gc,heap     ] GC(5) Survivor regions: 9->13(13)
[1.398s][info][gc,heap     ] GC(5) Old regions: 41->54
[1.398s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[1.398s][info][gc,metaspace] GC(5) Metaspace: 1325K(1472K)->1325K(1472K) NonClass: 1227K(1280K)->1227K(1280K) Class: 97K(192K)->97K(192K)
[1.398s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 276M->132M(2048M) 8.805ms
[1.398s][info][gc,cpu      ] GC(5) User=0.00s Sys=0.00s Real=0.01s
[1.521s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[1.521s][info][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[1.531s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.2ms
[1.531s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[1.531s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 9.1ms
[1.531s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.5ms
[1.531s][info][gc,phases   ] GC(6)   Other: 0.1ms
[1.531s][info][gc,heap     ] GC(6) Eden regions: 92->0(111)
[1.531s][info][gc,heap     ] GC(6) Survivor regions: 13->14(14)
[1.531s][info][gc,heap     ] GC(6) Old regions: 54->71
[1.531s][info][gc,heap     ] GC(6) Humongous regions: 1->0
[1.531s][info][gc,metaspace] GC(6) Metaspace: 1325K(1472K)->1325K(1472K) NonClass: 1227K(1280K)->1227K(1280K) Class: 97K(192K)->97K(192K)
[1.531s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 318M->168M(2048M) 10.338ms
[1.531s][info][gc,cpu      ] GC(6) User=0.06s Sys=0.11s Real=0.01s
[1.678s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[1.678s][info][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[1.690s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[1.690s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.1ms
[1.690s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 11.2ms
[1.690s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.5ms
[1.690s][info][gc,phases   ] GC(7)   Other: 0.1ms
[1.690s][info][gc,heap     ] GC(7) Eden regions: 111->0(145)
[1.690s][info][gc,heap     ] GC(7) Survivor regions: 14->16(16)
[1.690s][info][gc,heap     ] GC(7) Old regions: 71->91
[1.690s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[1.690s][info][gc,metaspace] GC(7) Metaspace: 1325K(1472K)->1325K(1472K) NonClass: 1227K(1280K)->1227K(1280K) Class: 97K(192K)->97K(192K)
[1.690s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 390M->213M(2048M) 12.446ms
[1.690s][info][gc,cpu      ] GC(7) User=0.03s Sys=0.12s Real=0.01s
[1.877s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[1.877s][info][gc,task     ] GC(8) Using 10 workers of 10 for evacuation
[1.892s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.3ms
[1.892s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.1ms
[1.892s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 14.4ms
[1.892s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.5ms
[1.892s][info][gc,phases   ] GC(8)   Other: 0.1ms
[1.892s][info][gc,heap     ] GC(8) Eden regions: 145->0(174)
[1.892s][info][gc,heap     ] GC(8) Survivor regions: 16->21(21)
[1.892s][info][gc,heap     ] GC(8) Old regions: 91->115
[1.892s][info][gc,heap     ] GC(8) Humongous regions: 1->0
[1.892s][info][gc,metaspace] GC(8) Metaspace: 1325K(1472K)->1325K(1472K) NonClass: 1227K(1280K)->1227K(1280K) Class: 97K(192K)->97K(192K)
[1.892s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 505M->270M(2048M) 15.666ms
[1.892s][info][gc,cpu      ] GC(8) User=0.05s Sys=0.11s Real=0.01s
[2.121s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2.121s][info][gc,task     ] GC(9) Using 10 workers of 10 for evacuation
[2.140s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.3ms
[2.140s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.1ms
[2.140s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 18.5ms
[2.140s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.5ms
[2.140s][info][gc,phases   ] GC(9)   Other: 0.1ms
[2.140s][info][gc,heap     ] GC(9) Eden regions: 174->0(204)
[2.140s][info][gc,heap     ] GC(9) Survivor regions: 21->25(25)
[2.140s][info][gc,heap     ] GC(9) Old regions: 115->145
[2.140s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[2.140s][info][gc,metaspace] GC(9) Metaspace: 1325K(1472K)->1325K(1472K) NonClass: 1227K(1280K)->1227K(1280K) Class: 97K(192K)->97K(192K)
[2.140s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 618M->339M(2048M) 19.734ms
[2.141s][info][gc,cpu      ] GC(9) User=0.08s Sys=0.23s Real=0.02s
[2.609s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2.609s][info][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[2.635s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.3ms
[2.635s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.1ms
[2.635s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 24.5ms
