[0.854s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[0.854s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 5.5ms
[0.854s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.5ms
[0.854s][info][gc,phases   ] GC(4)   Other: 0.1ms
[0.854s][info][gc,heap     ] GC(4) Eden regions: 59->0(91)
[0.854s][info][gc,heap     ] GC(4) Survivor regions: 7->9(9)
[0.854s][info][gc,heap     ] GC(4) Old regions: 30->40
[0.854s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[0.854s][info][gc,metaspace] GC(4) Metaspace: 1319K(1472K)->1319K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
[0.854s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 191M->96M(2048M) 6.629ms
[0.854s][info][gc,cpu      ] GC(4) User=0.06s Sys=0.09s Real=0.01s
[0.992s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[0.992s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[1.001s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[1.001s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[1.001s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 8.1ms
[1.001s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.5ms
[1.001s][info][gc,phases   ] GC(5)   Other: 0.1ms
[1.001s][info][gc,heap     ] GC(5) Eden regions: 91->0(93)
[1.002s][info][gc,heap     ] GC(5) Survivor regions: 9->13(13)
[1.002s][info][gc,heap     ] GC(5) Old regions: 40->53
[1.002s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[1.002s][info][gc,metaspace] GC(5) Metaspace: 1319K(1472K)->1319K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
[1.002s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 278M->130M(2048M) 9.348ms
[1.002s][info][gc,cpu      ] GC(5) User=0.00s Sys=0.00s Real=0.01s
[1.123s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[1.123s][info][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[1.133s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.3ms
[1.133s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[1.133s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 8.8ms
[1.133s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.6ms
[1.133s][info][gc,phases   ] GC(6)   Other: 0.1ms
[1.133s][info][gc,heap     ] GC(6) Eden regions: 93->0(112)
[1.133s][info][gc,heap     ] GC(6) Survivor regions: 13->14(14)
[1.133s][info][gc,heap     ] GC(6) Old regions: 53->70
[1.133s][info][gc,heap     ] GC(6) Humongous regions: 1->0
[1.133s][info][gc,metaspace] GC(6) Metaspace: 1319K(1472K)->1319K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
[1.133s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 318M->167M(2048M) 10.059ms
[1.133s][info][gc,cpu      ] GC(6) User=0.00s Sys=0.00s Real=0.01s
