[0.016s][info][gc,init] CardTable entry size: 512
[0.017s][info][gc     ] Using G1
[0.031s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.031s][info][gc,init] CPUs: 12 total, 12 available
[0.031s][info][gc,init] Memory: 16190M
[0.031s][info][gc,init] Large Page Support: Disabled
[0.031s][info][gc,init] NUMA Support: Disabled
[0.031s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.031s][info][gc,init] Heap Region Size: 2M
[0.031s][info][gc,init] Heap Min Capacity: 2G
[0.031s][info][gc,init] Heap Initial Capacity: 2G
[0.031s][info][gc,init] Heap Max Capacity: 4G
[0.031s][info][gc,init] Pre-touch: Disabled
[0.031s][info][gc,init] Parallel Workers: 10
[0.031s][info][gc,init] Concurrent Workers: 3
[0.031s][info][gc,init] Concurrent Refinement Workers: 10
[0.031s][info][gc,init] Periodic GC: Disabled
[0.040s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000021d00000000-0x0000021d00c90000-0x0000021d00c90000), size 13172736, SharedBaseAddress: 0x0000021d00000000, ArchiveRelocationMode: 1.
[0.040s][info][gc,metaspace] Compressed class space mapped at: 0x0000021d01000000-0x0000021d41000000, reserved size: 1073741824
[0.041s][info][gc,metaspace] Narrow klass base: 0x0000021d00000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.407s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.407s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.414s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.414s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.2ms
[0.414s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 4.8ms
[0.414s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.8ms
[0.414s][info][gc,phases   ] GC(0)   Other: 0.7ms
[0.414s][info][gc,heap     ] GC(0) Eden regions: 51->0(49)
[0.414s][info][gc,heap     ] GC(0) Survivor regions: 0->4(7)
[0.414s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.414s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.414s][info][gc,metaspace] GC(0) Metaspace: 1686K(1792K)->1686K(1792K) NonClass: 1545K(1600K)->1545K(1600K) Class: 141K(192K)->141K(192K)
[0.414s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->8M(2048M) 7.042ms
[0.414s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.01s
[0.588s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.588s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.594s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.594s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.594s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 5.6ms
[0.594s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.4ms
[0.594s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.594s][info][gc,heap     ] GC(1) Eden regions: 49->0(60)
[0.594s][info][gc,heap     ] GC(1) Survivor regions: 4->3(7)
[0.594s][info][gc,heap     ] GC(1) Old regions: 0->4
[0.594s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.594s][info][gc,metaspace] GC(1) Metaspace: 1708K(1792K)->1708K(1792K) NonClass: 1567K(1600K)->1567K(1600K) Class: 141K(192K)->141K(192K)
[0.594s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 106M->12M(2048M) 6.620ms
[0.594s][info][gc,cpu      ] GC(1) User=0.09s Sys=0.06s Real=0.01s
[0.737s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.737s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.744s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[0.745s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[0.745s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 6.7ms
[0.745s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.3ms
[0.745s][info][gc,phases   ] GC(2)   Other: 0.1ms
