[0.011s][info][gc,init] CardTable entry size: 512
[0.011s][info][gc     ] Using G1
[0.021s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.021s][info][gc,init] CPUs: 12 total, 12 available
[0.021s][info][gc,init] Memory: 16190M
[0.021s][info][gc,init] Large Page Support: Disabled
[0.021s][info][gc,init] NUMA Support: Disabled
[0.021s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.021s][info][gc,init] Heap Region Size: 2M
[0.021s][info][gc,init] Heap Min Capacity: 2G
[0.021s][info][gc,init] Heap Initial Capacity: 2G
[0.021s][info][gc,init] Heap Max Capacity: 4G
[0.022s][info][gc,init] Pre-touch: Disabled
[0.022s][info][gc,init] Parallel Workers: 10
[0.022s][info][gc,init] Concurrent Workers: 3
[0.022s][info][gc,init] Concurrent Refinement Workers: 10
[0.022s][info][gc,init] Periodic GC: Disabled
[0.031s][info][gc,metaspace] CDS archive(s) mapped at: [0x00000256dd000000-0x00000256ddc90000-0x00000256ddc90000), size 13172736, SharedBaseAddress: 0x00000256dd000000, ArchiveRelocationMode: 1.
[0.031s][info][gc,metaspace] Compressed class space mapped at: 0x00000256de000000-0x000002571e000000, reserved size: 1073741824
[0.031s][info][gc,metaspace] Narrow klass base: 0x00000256dd000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.531s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.531s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.537s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.537s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.537s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 5.0ms
[0.537s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.5ms
[0.537s][info][gc,phases   ] GC(0)   Other: 0.8ms
[0.537s][info][gc,heap     ] GC(0) Eden regions: 51->0(47)
[0.538s][info][gc,heap     ] GC(0) Survivor regions: 0->5(7)
[0.538s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.538s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.538s][info][gc,metaspace] GC(0) Metaspace: 1667K(1792K)->1667K(1792K) NonClass: 1532K(1600K)->1532K(1600K) Class: 135K(192K)->135K(192K)
[0.538s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->9M(2048M) 6.987ms
[0.538s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.01s
[0.705s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.705s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.712s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.712s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.712s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 6.2ms
[0.712s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.5ms
[0.712s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.712s][info][gc,heap     ] GC(1) Eden regions: 47->0(59)
[0.712s][info][gc,heap     ] GC(1) Survivor regions: 5->3(7)
[0.712s][info][gc,heap     ] GC(1) Old regions: 0->4
[0.712s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.712s][info][gc,metaspace] GC(1) Metaspace: 1679K(1792K)->1679K(1792K) NonClass: 1543K(1600K)->1543K(1600K) Class: 135K(192K)->135K(192K)
[0.712s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 103M->12M(2048M) 7.385ms
[0.712s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.01s
[1.120s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[1.120s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[1.130s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[1.130s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[1.130s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 9.2ms
[1.130s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.4ms
[1.130s][info][gc,phases   ] GC(2)   Other: 0.1ms
[1.130s][info][gc,heap     ] GC(2) Eden regions: 59->0(59)
[1.130s][info][gc,heap     ] GC(2) Survivor regions: 3->8(8)
[1.130s][info][gc,heap     ] GC(2) Old regions: 4->4
[1.131s][info][gc,heap     ] GC(2) Humongous regions: 2->1
[1.131s][info][gc,metaspace] GC(2) Metaspace: 1695K(1792K)->1695K(1792K) NonClass: 1560K(1600K)->1560K(1600K) Class: 135K(192K)->135K(192K)
[1.131s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 134M->24M(2048M) 10.696ms
[1.131s][info][gc,cpu      ] GC(2) User=0.06s Sys=0.03s Real=0.01s
[1.369s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[1.369s][info][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[1.384s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.2ms
[1.384s][info][gc,phases   ] GC(3)   Merge Heap Roots: 3.8ms
[1.384s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 10.1ms
[1.384s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.4ms
[1.384s][info][gc,phases   ] GC(3)   Other: 0.1ms
[1.384s][info][gc,heap     ] GC(3) Eden regions: 56->0(66)
[1.384s][info][gc,heap     ] GC(3) Survivor regions: 8->8(8)
[1.384s][info][gc,heap     ] GC(3) Old regions: 4->12
[1.384s][info][gc,heap     ] GC(3) Humongous regions: 1->1
[1.384s][info][gc,metaspace] GC(3) Metaspace: 1714K(1792K)->1714K(1792K) NonClass: 1579K(1600K)->1579K(1600K) Class: 135K(192K)->135K(192K)
[1.384s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 136M->40M(2048M) 15.076ms
[1.385s][info][gc,cpu      ] GC(3) User=0.02s Sys=0.00s Real=0.01s
[1.611s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[1.611s][info][gc,task     ] GC(4) Using 10 workers of 10 for evacuation
[1.620s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.2ms
[1.620s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[1.620s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 8.7ms
[1.620s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.3ms
[1.620s][info][gc,phases   ] GC(4)   Other: 0.1ms
[1.620s][info][gc,heap     ] GC(4) Eden regions: 67->0(86)
[1.620s][info][gc,heap     ] GC(4) Survivor regions: 8->10(10)
[1.620s][info][gc,heap     ] GC(4) Old regions: 12->20
[1.620s][info][gc,heap     ] GC(4) Humongous regions: 1->1
[1.620s][info][gc,metaspace] GC(4) Metaspace: 1715K(1792K)->1715K(1792K) NonClass: 1579K(1600K)->1579K(1600K) Class: 135K(192K)->135K(192K)
[1.621s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 174M->61M(2048M) 9.722ms
