[0.939s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.3ms
[0.939s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[0.939s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 6.7ms
[0.939s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.5ms
[0.939s][info][gc,phases   ] GC(4)   Other: 0.1ms
[0.939s][info][gc,heap     ] GC(4) Eden regions: 61->0(76)
[0.939s][info][gc,heap     ] GC(4) Survivor regions: 7->9(9)
[0.939s][info][gc,heap     ] GC(4) Old regions: 30->40
[0.939s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[0.939s][info][gc,metaspace] GC(4) Metaspace: 1320K(1472K)->1320K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
[0.939s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 193M->96M(2048M) 7.815ms
[0.939s][info][gc,cpu      ] GC(4) User=0.03s Sys=0.03s Real=0.01s
[1.043s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[1.043s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[1.051s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.3ms
[1.051s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[1.051s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 7.2ms
[1.051s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.5ms
[1.051s][info][gc,phases   ] GC(5)   Other: 0.1ms
[1.051s][info][gc,heap     ] GC(5) Eden regions: 76->0(85)
[1.052s][info][gc,heap     ] GC(5) Survivor regions: 9->11(11)
[1.052s][info][gc,heap     ] GC(5) Old regions: 40->53
[1.052s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[1.052s][info][gc,metaspace] GC(5) Metaspace: 1320K(1472K)->1320K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
