[3.037s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.2ms
[3.037s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 12.4ms
[3.037s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.7ms
[3.037s][info][gc,phases   ] GC(4)   Other: 0.1ms
[3.038s][info][gc,heap     ] GC(4) Eden regions: 336->0(303)
[3.038s][info][gc,heap     ] GC(4) Survivor regions: 9->16(44)
[3.038s][info][gc,heap     ] GC(4) Old regions: 3->3
[3.038s][info][gc,heap     ] GC(4) Humongous regions: 6->6
[3.038s][info][gc,metaspace] GC(4) Metaspace: 1506K(1600K)->1506K(1600K) NonClass: 1388K(1408K)->1388K(1408K) Class: 118K(192K)->118K(192K)
[3.038s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 706M->48M(2048M) 13.973ms
[3.038s][info][gc,cpu      ] GC(4) User=0.12s Sys=0.03s Real=0.01s
[3.995s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[3.995s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[4.010s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[4.010s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[4.010s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 13.0ms
[4.010s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.6ms
[4.010s][info][gc,phases   ] GC(5)   Other: 0.1ms
[4.010s][info][gc,heap     ] GC(5) Eden regions: 280->0(330)
[4.010s][info][gc,heap     ] GC(5) Survivor regions: 16->22(37)
[4.010s][info][gc,heap     ] GC(5) Old regions: 3->3
[4.010s][info][gc,heap     ] GC(5) Humongous regions: 6->6
[4.010s][info][gc,metaspace] GC(5) Metaspace: 1506K(1600K)->1506K(1600K) NonClass: 1388K(1408K)->1388K(1408K) Class: 118K(192K)->118K(192K)
[4.010s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 608M->60M(2048M) 14.351ms
[4.010s][info][gc,cpu      ] GC(5) User=0.12s Sys=0.03s Real=0.01s
[5.117s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[5.117s][info][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[5.135s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.3ms
[5.135s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[5.135s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 16.4ms
[5.135s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.7ms
[5.135s][info][gc,phases   ] GC(6)   Other: 0.1ms
[5.135s][info][gc,heap     ] GC(6) Eden regions: 321->0(421)
[5.135s][info][gc,heap     ] GC(6) Survivor regions: 22->27(43)
[5.135s][info][gc,heap     ] GC(6) Old regions: 3->3
[5.135s][info][gc,heap     ] GC(6) Humongous regions: 7->6
[5.135s][info][gc,metaspace] GC(6) Metaspace: 1506K(1600K)->1506K(1600K) NonClass: 1388K(1408K)->1388K(1408K) Class: 118K(192K)->118K(192K)
[5.135s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 704M->71M(2048M) 17.938ms
[5.135s][info][gc,cpu      ] GC(6) User=0.14s Sys=0.02s Real=0.02s
[6.548s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[6.548s][info][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[6.573s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[6.573s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.2ms
[6.573s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 23.6ms
[6.573s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.6ms
[6.573s][info][gc,phases   ] GC(7)   Other: 0.1ms
[6.573s][info][gc,heap     ] GC(7) Eden regions: 391->0(581)
[6.573s][info][gc,heap     ] GC(7) Survivor regions: 27->33(53)
[6.573s][info][gc,heap     ] GC(7) Old regions: 3->3
[6.573s][info][gc,heap     ] GC(7) Humongous regions: 11->11
