[0.861s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.2ms
[0.861s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 8.5ms
[0.861s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.3ms
[0.861s][info][gc,phases   ] GC(4)   Other: 0.1ms
[0.861s][info][gc,heap     ] GC(4) Eden regions: 91->0(143)
[0.861s][info][gc,heap     ] GC(4) Survivor regions: 5->9(12)
[0.861s][info][gc,heap     ] GC(4) Old regions: 7->7
[0.861s][info][gc,heap     ] GC(4) Humongous regions: 3->3
[0.861s][info][gc,metaspace] GC(4) Metaspace: 1720K(1792K)->1720K(1792K) NonClass: 1578K(1600K)->1578K(1600K) Class: 142K(192K)->142K(192K)
[0.861s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 210M->36M(2048M) 9.498ms
[0.861s][info][gc,cpu      ] GC(4) User=0.03s Sys=0.12s Real=0.01s
[0.980s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[0.980s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[0.990s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[0.991s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[0.991s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 10.0ms
[0.991s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.3ms
[0.991s][info][gc,phases   ] GC(5)   Other: 0.1ms
[0.991s][info][gc,heap     ] GC(5) Eden regions: 121->0(225)
[0.991s][info][gc,heap     ] GC(5) Survivor regions: 9->12(17)
[0.991s][info][gc,heap     ] GC(5) Old regions: 7->7
[0.991s][info][gc,heap     ] GC(5) Humongous regions: 3->3
[0.991s][info][gc,metaspace] GC(5) Metaspace: 1725K(1792K)->1725K(1792K) NonClass: 1583K(1600K)->1583K(1600K) Class: 142K(192K)->142K(192K)
[0.991s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 278M->42M(2048M) 10.958ms
[0.991s][info][gc,cpu      ] GC(5) User=0.16s Sys=0.00s Real=0.01s
[1.187s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[1.187s][info][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[1.201s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.2ms
[1.201s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[1.201s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 13.4ms
[1.201s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.4ms
[1.201s][info][gc,phases   ] GC(6)   Other: 0.1ms
[1.201s][info][gc,heap     ] GC(6) Eden regions: 207->0(351)
[1.201s][info][gc,heap     ] GC(6) Survivor regions: 12->17(28)
[1.201s][info][gc,heap     ] GC(6) Old regions: 7->7
[1.201s][info][gc,heap     ] GC(6) Humongous regions: 3->3
[1.201s][info][gc,metaspace] GC(6) Metaspace: 1725K(1792K)->1725K(1792K) NonClass: 1583K(1600K)->1583K(1600K) Class: 142K(192K)->142K(192K)
[1.201s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 456M->52M(2048M) 14.466ms
[1.201s][info][gc,cpu      ] GC(6) User=0.16s Sys=0.00s Real=0.02s
[1.471s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[1.471s][info][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[1.493s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[1.493s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.2ms
[1.493s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 20.8ms
[1.493s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.4ms
[1.493s][info][gc,phases   ] GC(7)   Other: 0.1ms
[1.493s][info][gc,heap     ] GC(7) Eden regions: 279->0(398)
[1.493s][info][gc,heap     ] GC(7) Survivor regions: 17->24(37)
[1.493s][info][gc,heap     ] GC(7) Old regions: 7->7
[1.493s][info][gc,heap     ] GC(7) Humongous regions: 6->6
[1.493s][info][gc,metaspace] GC(7) Metaspace: 1725K(1792K)->1725K(1792K) NonClass: 1583K(1600K)->1583K(1600K) Class: 142K(192K)->142K(192K)
[1.493s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 616M->73M(2048M) 21.917ms
[1.493s][info][gc,cpu      ] GC(7) User=0.12s Sys=0.03s Real=0.02s
[1.833s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[1.833s][info][gc,task     ] GC(8) Using 10 workers of 10 for evacuation
[1.860s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.2ms
[1.860s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.2ms
[1.860s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 25.5ms
[1.860s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.5ms
[1.860s][info][gc,phases   ] GC(8)   Other: 0.1ms
[1.860s][info][gc,heap     ] GC(8) Eden regions: 359->0(504)
[1.860s][info][gc,heap     ] GC(8) Survivor regions: 24->32(48)
[1.860s][info][gc,heap     ] GC(8) Old regions: 7->7
[1.860s][info][gc,heap     ] GC(8) Humongous regions: 7->6
[1.860s][info][gc,metaspace] GC(8) Metaspace: 1725K(1792K)->1725K(1792K) NonClass: 1583K(1600K)->1583K(1600K) Class: 142K(192K)->142K(192K)
[1.860s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 793M->89M(2048M) 26.771ms
[1.860s][info][gc,cpu      ] GC(8) User=0.16s Sys=0.00s Real=0.03s
[2.255s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2.255s][info][gc,task     ] GC(9) Using 10 workers of 10 for evacuation
[2.292s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.2ms
[2.292s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.3ms
[2.292s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 36.2ms
[2.292s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.5ms
[2.292s][info][gc,phases   ] GC(9)   Other: 0.1ms
[2.292s][info][gc,heap     ] GC(9) Eden regions: 439->0(545)
[2.292s][info][gc,heap     ] GC(9) Survivor regions: 32->43(59)
[2.292s][info][gc,heap     ] GC(9) Old regions: 7->9
[2.292s][info][gc,heap     ] GC(9) Humongous regions: 12->11
[2.292s][info][gc,metaspace] GC(9) Metaspace: 1725K(1792K)->1725K(1792K) NonClass: 1583K(1600K)->1583K(1600K) Class: 142K(192K)->142K(192K)
[2.292s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 979M->125M(2048M) 37.546ms
[2.292s][info][gc,cpu      ] GC(9) User=0.27s Sys=0.03s Real=0.04s
[2.604s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2.604s][info][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[2.644s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.2ms
[2.644s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.3ms
[2.644s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 38.4ms
[2.644s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.9ms
[2.644s][info][gc,phases   ] GC(10)   Other: 0.1ms
[2.644s][info][gc,heap     ] GC(10) Eden regions: 350->0(608)
[2.644s][info][gc,heap     ] GC(10) Survivor regions: 43->31(50)
[2.644s][info][gc,heap     ] GC(10) Old regions: 9->33
[2.644s][info][gc,heap     ] GC(10) Humongous regions: 11->11
