[2.133s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[2.133s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 8.9ms
[2.133s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.6ms
[2.133s][info][gc,phases   ] GC(4)   Other: 0.1ms
[2.133s][info][gc,heap     ] GC(4) Eden regions: 187->0(354)
[2.133s][info][gc,heap     ] GC(4) Survivor regions: 8->12(25)
[2.133s][info][gc,heap     ] GC(4) Old regions: 3->3
[2.133s][info][gc,heap     ] GC(4) Humongous regions: 3->3
[2.133s][info][gc,metaspace] GC(4) Metaspace: 1509K(1664K)->1509K(1664K) NonClass: 1390K(1472K)->1390K(1472K) Class: 118K(192K)->118K(192K)
[2.133s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 400M->34M(2048M) 10.302ms
[2.133s][info][gc,cpu      ] GC(4) User=0.00s Sys=0.00s Real=0.01s
[3.681s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[3.681s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[3.700s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[3.700s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.2ms
[3.700s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 17.2ms
[3.700s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.6ms
[3.700s][info][gc,phases   ] GC(5)   Other: 0.1ms
[3.700s][info][gc,heap     ] GC(5) Eden regions: 260->0(477)
[3.700s][info][gc,heap     ] GC(5) Survivor regions: 12->17(34)
[3.700s][info][gc,heap     ] GC(5) Old regions: 3->3
[3.700s][info][gc,heap     ] GC(5) Humongous regions: 6->6
[3.700s][info][gc,metaspace] GC(5) Metaspace: 1509K(1664K)->1509K(1664K) NonClass: 1390K(1472K)->1390K(1472K) Class: 118K(192K)->118K(192K)
[3.700s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 560M->51M(2048M) 18.657ms
