[0.009s][info][gc,init] CardTable entry size: 512
[0.009s][info][gc     ] Using G1
[0.019s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.019s][info][gc,init] CPUs: 12 total, 12 available
[0.019s][info][gc,init] Memory: 16190M
[0.019s][info][gc,init] Large Page Support: Disabled
[0.019s][info][gc,init] NUMA Support: Disabled
[0.019s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.019s][info][gc,init] Heap Region Size: 2M
[0.019s][info][gc,init] Heap Min Capacity: 2G
[0.019s][info][gc,init] Heap Initial Capacity: 2G
[0.019s][info][gc,init] Heap Max Capacity: 4G
[0.019s][info][gc,init] Pre-touch: Disabled
[0.019s][info][gc,init] Parallel Workers: 10
[0.019s][info][gc,init] Concurrent Workers: 3
[0.019s][info][gc,init] Concurrent Refinement Workers: 10
[0.019s][info][gc,init] Periodic GC: Disabled
[0.028s][info][gc,metaspace] CDS archive(s) mapped at: [0x000001ed04000000-0x000001ed04c90000-0x000001ed04c90000), size 13172736, SharedBaseAddress: 0x000001ed04000000, ArchiveRelocationMode: 1.
[0.028s][info][gc,metaspace] Compressed class space mapped at: 0x000001ed05000000-0x000001ed45000000, reserved size: 1073741824
[0.028s][info][gc,metaspace] Narrow klass base: 0x000001ed04000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.381s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.382s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.387s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.387s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.387s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 4.6ms
[0.387s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.387s][info][gc,phases   ] GC(0)   Other: 0.6ms
[0.387s][info][gc,heap     ] GC(0) Eden regions: 51->0(51)
[0.387s][info][gc,heap     ] GC(0) Survivor regions: 0->4(7)
[0.388s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.388s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.388s][info][gc,metaspace] GC(0) Metaspace: 1667K(1856K)->1667K(1856K) NonClass: 1521K(1600K)->1521K(1600K) Class: 146K(256K)->146K(256K)
[0.388s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->7M(2048M) 6.342ms
[0.388s][info][gc,cpu      ] GC(0) User=0.03s Sys=0.00s Real=0.01s
[0.534s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.534s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.540s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.540s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.540s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 5.3ms
[0.540s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.5ms
[0.540s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.540s][info][gc,heap     ] GC(1) Eden regions: 51->0(59)
[0.540s][info][gc,heap     ] GC(1) Survivor regions: 4->6(7)
[0.540s][info][gc,heap     ] GC(1) Old regions: 0->0
[0.540s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.540s][info][gc,metaspace] GC(1) Metaspace: 1682K(1920K)->1682K(1920K) NonClass: 1535K(1664K)->1535K(1664K) Class: 146K(256K)->146K(256K)
[0.540s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 109M->12M(2048M) 6.377ms
[0.540s][info][gc,cpu      ] GC(1) User=0.08s Sys=0.08s Real=0.01s
[0.721s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.721s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.729s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[0.729s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[0.730s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 7.6ms
[0.730s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.5ms
[0.730s][info][gc,phases   ] GC(2)   Other: 0.1ms
[0.730s][info][gc,heap     ] GC(2) Eden regions: 59->0(115)
[0.730s][info][gc,heap     ] GC(2) Survivor regions: 6->5(9)
[0.730s][info][gc,heap     ] GC(2) Old regions: 0->3
[0.730s][info][gc,heap     ] GC(2) Humongous regions: 2->1
[0.730s][info][gc,metaspace] GC(2) Metaspace: 1705K(1920K)->1705K(1920K) NonClass: 1559K(1664K)->1559K(1664K) Class: 146K(256K)->146K(256K)
[0.730s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 133M->17M(2048M) 8.915ms
[0.730s][info][gc,cpu      ] GC(2) User=0.05s Sys=0.09s Real=0.01s
[0.914s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.914s][info][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[0.925s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.2ms
[0.925s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.2ms
[0.925s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 9.6ms
[0.925s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.3ms
[0.925s][info][gc,phases   ] GC(3)   Other: 0.1ms
[0.925s][info][gc,heap     ] GC(3) Eden regions: 115->0(163)
[0.925s][info][gc,heap     ] GC(3) Survivor regions: 5->10(15)
[0.925s][info][gc,heap     ] GC(3) Old regions: 3->3
[0.925s][info][gc,heap     ] GC(3) Humongous regions: 3->3
[0.925s][info][gc,metaspace] GC(3) Metaspace: 1741K(1984K)->1741K(1984K) NonClass: 1595K(1728K)->1595K(1728K) Class: 146K(256K)->146K(256K)
[0.925s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 251M->30M(2048M) 10.734ms
[0.925s][info][gc,cpu      ] GC(3) User=0.00s Sys=0.00s Real=0.01s
[1.099s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[1.099s][info][gc,task     ] GC(4) Using 10 workers of 10 for evacuation
[1.112s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.2ms
[1.112s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[1.112s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 11.4ms
[1.112s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.3ms
[1.112s][info][gc,phases   ] GC(4)   Other: 0.1ms
[1.112s][info][gc,heap     ] GC(4) Eden regions: 145->0(180)
[1.112s][info][gc,heap     ] GC(4) Survivor regions: 10->13(20)
[1.112s][info][gc,heap     ] GC(4) Old regions: 3->3
[1.112s][info][gc,heap     ] GC(4) Humongous regions: 3->3
[1.112s][info][gc,metaspace] GC(4) Metaspace: 1754K(1984K)->1754K(1984K) NonClass: 1607K(1728K)->1607K(1728K) Class: 146K(256K)->146K(256K)
[1.112s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 320M->37M(2048M) 12.381ms
[1.112s][info][gc,cpu      ] GC(4) User=0.03s Sys=0.08s Real=0.01s
[1.293s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[1.293s][info][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[1.308s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.2ms
[1.308s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[1.309s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 14.8ms
[1.309s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.3ms
[1.309s][info][gc,phases   ] GC(5)   Other: 0.1ms
[1.309s][info][gc,heap     ] GC(5) Eden regions: 173->0(258)
[1.309s][info][gc,heap     ] GC(5) Survivor regions: 13->17(24)
[1.309s][info][gc,heap     ] GC(5) Old regions: 3->3
[1.309s][info][gc,heap     ] GC(5) Humongous regions: 3->3
[1.309s][info][gc,metaspace] GC(5) Metaspace: 1754K(1984K)->1754K(1984K) NonClass: 1607K(1728K)->1607K(1728K) Class: 146K(256K)->146K(256K)
[1.309s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 383M->44M(2048M) 15.801ms
